frame.number,frame.time_epoch,ip.src,ip.dst,_ws.col.protocol,frame.len,data.text
1,1748264366.712966000,,,ICMPv6,116,
2,1748264367.561172000,,,ARP,48,
3,1748264367.561296000,,,ARP,48,
4,1748264367.601642000,,,ICMPv6,136,
5,1748264367.603982000,,,ICMPv6,96,
6,1748264368.017215000,,,ICMPv6,136,
7,1748264368.113128000,,,ICMPv6,96,
8,1748264368.561044000,,,ARP,48,
9,1748264368.561831000,,,ARP,48,
10,1748264368.595106000,127.0.0.1,127.0.0.11,DNS,74,
11,1748264368.595132000,127.0.0.1,127.0.0.11,DNS,74,
12,1748264368.597899000,127.0.0.11,127.0.0.1,DNS,74,
13,1748264368.597934000,127.0.0.11,127.0.0.1,DNS,98,
14,1748264368.598673000,,,ARP,48,
15,1748264368.598720000,,,ARP,48,
16,1748264368.598762000,,,ARP,48,
17,1748264368.598764000,172.22.0.4,172.22.0.2,TCP,80,
18,1748264368.598945000,172.22.0.2,172.22.0.4,TCP,80,
19,1748264368.598965000,172.22.0.4,172.22.0.2,TCP,72,
20,1748264368.599089000,172.22.0.4,172.22.0.2,HTTP,162,
21,1748264368.599102000,172.22.0.2,172.22.0.4,TCP,72,
22,1748264368.610196000,172.22.0.2,172.22.0.4,TCP,258,
23,1748264368.610217000,172.22.0.4,172.22.0.2,TCP,72,
24,1748264368.610256000,172.22.0.2,172.22.0.4,HTTP,407,
25,1748264368.610270000,172.22.0.4,172.22.0.2,TCP,72,
26,1748264368.610375000,172.22.0.2,172.22.0.4,TCP,72,
27,1748264368.610426000,172.22.0.4,172.22.0.2,TCP,72,
28,1748264369.625181000,127.0.0.1,127.0.0.11,DNS,77,
29,1748264369.625196000,127.0.0.1,127.0.0.11,DNS,77,
30,1748264369.633238000,127.0.0.11,127.0.0.1,DNS,245,
31,1748264369.648763000,127.0.0.11,127.0.0.1,DNS,173,
32,1748264369.649444000,,,ARP,48,
33,1748264369.649483000,,,ARP,48,
34,1748264369.649517000,,,ARP,48,
35,1748264369.649518000,172.22.0.4,23.215.0.138,TCP,80,
36,1748264369.751574000,23.215.0.138,172.22.0.4,TCP,80,
37,1748264369.751708000,172.22.0.4,23.215.0.138,TCP,72,
38,1748264369.752166000,172.22.0.4,23.215.0.138,HTTP,147,
39,1748264369.752871000,23.215.0.138,172.22.0.4,TCP,72,
40,1748264369.855232000,23.215.0.138,172.22.0.4,TCP,1520,
41,1748264369.855327000,172.22.0.4,23.215.0.138,TCP,72,
42,1748264369.855330000,23.215.0.138,172.22.0.4,HTTP,142,
43,1748264369.855346000,172.22.0.4,23.215.0.138,TCP,72,
44,1748264369.856097000,172.22.0.4,23.215.0.138,TCP,72,
45,1748264369.857905000,23.215.0.138,172.22.0.4,TCP,72,
46,1748264369.958170000,23.215.0.138,172.22.0.4,TCP,72,
47,1748264369.958269000,172.22.0.4,23.215.0.138,TCP,72,
48,1748264373.813898000,,,ARP,48,
49,1748264373.813906000,,,ARP,48,
50,1748264374.833912000,,,ARP,48,
51,1748264374.833955000,,,ARP,48,
52,1748264383.395320000,127.0.0.1,127.0.0.11,DNS,74,
53,1748264383.395335000,127.0.0.1,127.0.0.11,DNS,74,
54,1748264383.395627000,127.0.0.11,127.0.0.1,DNS,98,
55,1748264383.395703000,127.0.0.11,127.0.0.1,DNS,74,
56,1748264383.395985000,172.22.0.4,172.22.0.2,TCP,80,
57,1748264383.396101000,172.22.0.2,172.22.0.4,TCP,80,
58,1748264383.396114000,172.22.0.4,172.22.0.2,TCP,72,
59,1748264383.396211000,172.22.0.4,172.22.0.2,HTTP,149,
60,1748264383.396232000,172.22.0.2,172.22.0.4,TCP,72,
61,1748264383.400439000,172.22.0.2,172.22.0.4,TCP,228,
62,1748264383.400472000,172.22.0.4,172.22.0.2,TCP,72,
63,1748264383.400508000,172.22.0.2,172.22.0.4,HTTP,423,
64,1748264383.400524000,172.22.0.4,172.22.0.2,TCP,72,
65,1748264383.400556000,172.22.0.2,172.22.0.4,TCP,72,
66,1748264383.400612000,172.22.0.4,172.22.0.2,TCP,72,
67,1748264383.400642000,172.22.0.2,172.22.0.4,TCP,72,
