timestamp,variant_id,data_source,source_file,host,source_type,event_type,severity,process,user,is_attack,attack_stage,connection_id,connection_state,custom_tests_login_injections,custom_tests_search_injections,custom_tests_time_based_injections,custom_tests_union_injections,data_extraction_file_saved,data_extraction_method,data_extraction_payload,data_extraction_response_length,data_extraction_status_code,data_extraction_success,data_extraction_timestamp,details_action,details_attempt,details_ip,details_message,details_method,details_network_quintuple_connection_id,details_network_quintuple_connection_state,details_network_quintuple_dst_ip,details_network_quintuple_dst_port,details_network_quintuple_protocol,details_network_quintuple_session_duration,details_network_quintuple_src_ip,details_network_quintuple_src_port,details_path,details_raw,details_referer,details_search_term,details_service,details_size,details_source_ip,details_status,details_timestamp_note,details_user_agent,dst_ip,dst_port,length,network_quintuple_connection_id,network_quintuple_connection_state,network_quintuple_dst_ip,network_quintuple_dst_port,network_quintuple_protocol,network_quintuple_session_duration,network_quintuple_src_ip,network_quintuple_src_port,packet_index,payload_content_preview,payload_has_sql_keywords,payload_is_encrypted,payload_payload_size,payload_payload_type,payload_sql_keywords_found,protocol,raw_data_raw_ascii,raw_data_raw_hex,session_duration,src_ip,src_port
2025-07-22T11:43:10.452180Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get:14 http://ports.ubuntu.com/ubuntu-ports focal-backports/main arm64 Packages [54.8 kB],,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452192Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get:15 http://ports.ubuntu.com/ubuntu-ports focal-security/universe arm64 Packages [1214 kB],,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452203Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get:16 http://ports.ubuntu.com/ubuntu-ports focal-security/restricted arm64 Packages [77.0 kB],,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452215Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get:17 http://ports.ubuntu.com/ubuntu-ports focal-security/multiverse arm64 Packages [8083 B],,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452226Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get:18 http://ports.ubuntu.com/ubuntu-ports focal-security/main arm64 Packages [3425 kB],,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452236Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fetched 23.4 MB in 2s (11.7 MB/s),,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452289Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reading package lists...,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452302Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reading package lists...,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452312Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building dependency tree...,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452321Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reading state information...,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
